student_id;all_clicks;active_days;access_frequency;material_clicks;avg_quiz_score;quiz_attempts;avg_assignment_score;assignment_submissions;final_grade;risk_cluster;total_time_spent;procrastination_index;late_submission_count
6516;2791;159;17.55345912;174;0;0;61.8;5;65;0;5582;2.6;0
8462;646;56;11.53571429;93;0;0;87;7;30;0;1292;34.14285714;1
8462;646;56;11.53571429;93;0;0;87;7;30;0;1292;34.14285714;1
11391;934;40;23.35;18;0;0;82;5;65;0;1868;1.8;0
23629;161;16;10.0625;2;100;2;65;2;40;0;322;-3.5;3
23698;910;70;13;48;75;4;72.5;4;65;0;1820;-1.125;4
23798;590;77;7.662337662;77;100;5;88.83333333;6;85;0;1180;-0.272727273;5
24213;554;28;19.78571429;17;0;0;79.33333333;6;30;0;1108;-1.857142857;5
24213;554;28;19.78571429;17;0;0;79.33333333;6;65;0;1108;-1.857142857;5
24734;499;56;8.910714286;14;0;0;46.8;5;65;0;998;-7.4;4
25107;2562;115;22.27826087;37;100;5;58.5;6;65;0;5124;-1.818181818;6
25261;997;39;25.56410256;39;78;1;0;0;30;0;1994;-3;1
25629;16;3;5.333333333;0;0;0;0;0;30;0;32;0;0
25629;16;3;5.333333333;0;0;0;0;0;30;0;32;0;0
25997;13;1;13;0;100;1;73;1;30;0;26;-3;2
26192;2223;118;18.83898305;170;0;0;86.2;5;85;0;4446;1.2;0
26315;2451;91;26.93406593;102;0;0;51.4;5;65;0;4902;6.2;0
26734;210;29;7.24137931;32;0;0;74.33333333;3;40;0;420;-15.33333333;2
27116;1847;126;14.65873016;112;95.75;4;90.25;4;85;0;3694;-1;4
27417;410;30;13.66666667;52;0;0;50.625;8;30;0;820;-3.75;4
27417;410;30;13.66666667;52;0;0;50.625;8;30;0;820;-3.75;4
27759;366;46;7.956521739;34;96;5;59.5;6;40;0;732;-0.909090909;5
27891;348;23;15.13043478;14;73.33333333;6;65;6;30;0;696;30.5;4
27891;348;23;15.13043478;14;73.33333333;6;65;6;40;0;696;30.5;4
27935;813;54;15.05555556;74;0;0;75.25;4;40;0;1626;-0.25;2
28046;661;51;12.96078431;47;0;0;51;6;40;0;1322;2.714285714;1
28061;1590;148;10.74324324;139;0;0;77.6;5;65;0;3180;-1;1
