student_id;all_clicks;active_days;access_frequency;material_clicks;avg_quiz_score;quiz_attempts;avg_assignment_score;assignment_submissions;final_grade;total_time_spent;procrastination_index;late_submission_count;max_burnout_score;avg_burnout_score;spike_count;crash_count;decline_weeks;avg_instability;max_instability;burnout_weeks;total_weeks;burnout_week_ratio;burnout_risk
284246;2279;87;26.1954023;168;0;0;60;5;40;4558;3.6;0;0;0;0;0;0;0;0;0;;0;0
1911513;1686;50;33.72;115;90.5;4;75;1;65;3372;-1.4;4;0;0;0;0;0;0;0;0;;0;0
354050;520;43;12.09302326;35;38.33333333;3;38.1;10;40;1040;-0.153846154;3;0;0;0;0;0;0;0;0;;0;0
633331;191;13;14.69230769;45;0;0;76.11111111;9;65;382;25.77777778;1;0;0;0;0;0;0;0;0;;0;0
2700830;1276;94;13.6489389;56;0;0;69.91607073;5;65;2553;-4.463497051;3;0.527404748;0.274271962;6;5;16;0.043649692;0.113900851;13;33;0.393939394;1
492552;114;19;6;11;0;0;60;1;30;228;-6;1;0;0;0;0;0;0;0;0;;0;0
2699651;1012;70;14.55155222;37;82.8594269;4;72.50984432;3;40;2025;-2.779731166;5;0.539457439;0.219097205;1;1;2;0.046593293;0.064206725;3;5;0.6;1
2701085;10972;246;44.93935591;194;48.35745857;2;76.87569558;5;65;21944;3.801933701;2;0.387208886;0.212738962;2;1;12;0.102770475;0.190650221;12;23;0.52173913;1
599769;401;39;10.28205128;39;70;2;79.5;2;40;802;1.25;2;0;0;0;0;0;0;0;0;;0;0
559831;194;29;6.689655172;6;84;5;59.33333333;6;65;388;0.363636364;5;0;0;0;0;0;0;0;0;;0;0
2703043;4483;198;22.73481743;186;0;0;80.26654293;5;85;8966;-3.676877391;3;0.765200272;0.319677184;11;4;20;0.09151135;0.249544892;28;39;0.717948718;1
124711;196;17;11.52941176;38;44;1;0;0;30;392;-3;1;0;0;0;0;0;0;0;0;;0;0
2701961;1247;98;12.78634562;54;94.26575267;5;81.12237455;6;65;2494;-6.768275295;10;0.328865097;0.136984769;0;0;2;0.036672512;0.066367531;2;5;0.4;1
534530;3;1;3;0;0;0;0;0;40;6;0;0;0;0;0;0;0;0;0;0;;0;0
2698928;5932;227;26.11018357;216;45.13139894;2;56.78458232;5;65;11865;-1.576094991;4;0.534980805;0.228609996;5;2;10;0.080221923;0.144310842;13;22;0.590909091;1
523596;357;19;18.78947368;20;88;5;74.83333333;6;40;714;-3.272727273;8;0.028617046;0.016393022;0;0;0;0.031741848;0.055411255;0;3;0;0
391185;1483;91;16.2967033;162;82.14285714;7;85.16666667;6;65;2966;0.714285714;7;0;0;0;0;0;0;0;0;;0;0
370294;352;19;18.52631579;23;0;0;92.5;2;40;704;40;0;0;0;0;0;0;0;0;0;;0;0
683777;645;70;9.214285714;39;74.75;4;61.75;4;65;1290;-1.625;4;0;0;0;0;0;0;0;0;;0;0
578823;1551;103;15.05825243;82;20;2;63;7;65;3102;-1.5;5;0;0;0;0;0;0;0;0;;0;0
2702807;7527;219;34.52227289;71;96.68062253;6;78.73939884;7;65;15053;18.81431037;3;0.740191966;0.307577398;6;3;8;0.069344269;0.14991275;13;18;0.722222222;1
479519;4624;220;21.01818182;43;80;5;70;5;40;9248;1.1;5;0.325906578;0.143631759;0;0;2;0.049543095;0.072915992;2;5;0.4;1
2702264;387;33;11.99029673;14;83.79170248;4;78.18705731;6;65;773;-2.116967531;6;0.434769809;0.225225689;2;2;2;0.041719857;0.065131118;4;7;0.571428571;1
1942999;424;24;17.66666667;37;75.5;2;0;0;30;848;-2;2;0;0;0;0;0;0;0;0;;0;0
624957;365;28;13.03571429;36;23;2;32.5;2;30;730;-50.75;4;0;0;0;0;0;0;0;0;;0;0
2702868;1094;54;21.059729;34;0;0;58.44592484;2;40;2188;-6.513571134;1;0.640966939;0.283589075;4;3;11;0.044283506;0.0929598;10;21;0.476190476;1
578717;471;55;8.563636364;41;96;5;79.33333333;6;65;942;-0.818181818;5;0;0;0;0;0;0;0;0;;0;0
2523146;596;50;11.92;53;78.75;4;84.66666667;6;40;1192;14.5;4;0;0;0;0;0;0;0;0;;0;0
2685831;840;110;7.636363636;44;80;5;71.66666667;6;65;1680;-2.181818182;7;0.324121239;0.093556857;0;0;1;0.038297226;0.056328093;1;4;0.25;0
2701809;6399;227;28.1575819;188;0;0;79.9829539;5;65;12798;0.218873574;0;0.691356496;0.315093341;9;6;20;0.061316593;0.198766577;19;38;0.5;1
2700202;767;40;19.48091911;17;0;0;71.35819604;3;65;1534;-0.895490096;1;0.605414672;0.281567434;5;4;9;0.056018852;0.093599217;10;19;0.526315789;1
2702021;1777;84;21.26980766;59;0;0;65.89964884;5;65;3555;0.324912209;2;0.695201206;0.2908017;7;4;18;0.057565463;0.160159492;15;33;0.454545455;1
342949;422;55;7.672727273;17;0;0;57;6;40;844;3.142857143;0;0;0;0;0;0;0;0;0;;0;0
2699793;1246;96;13.17825001;30;92.7778897;5;80.18731114;6;65;2492;-7.121545265;9;0.335023207;0.144240244;0;0;2;0.036830419;0.06465662;2;5;0.4;1
616646;610;31;19.67741935;54;69.44444444;9;70.83333333;6;30;1220;60;2;0;0;0;0;0;0;0;0;;0;0
622604;267;29;9.206896552;33;92;5;68.5;6;65;534;-1.181818182;5;0;0;0;0;0;0;0;0;;0;0
494212;684;39;17.53846154;53;100;5;61.66666667;6;30;1368;31.36363636;0;0;0;0;0;0;0;0;0;;0;0
1970390;14759;254;58.10629921;403;0;0;83.6;10;30;29518;55.2;5;0.826206916;0.315399924;15;9;36;0.116662019;0.37863456;42;72;0.583333333;1
544071;7;2;3.5;0;0;0;0;0;30;14;0;0;0;0;0;0;0;0;0;0;;0;0
202635;1418;47;30.17021277;19;0;0;66.66666667;3;30;2836;-10.33333333;3;0.694715832;0.251850217;1;1;9;0.059086757;0.091657743;7;15;0.466666667;1
2701934;3772;168;22.47204503;66;0;0;71.03227274;5;65;7545;0.230381228;1;0.68563824;0.257605516;6;3;18;0.055628443;0.09936748;17;35;0.485714286;1
609047;904;66;13.6969697;86;84;5;67;5;40;1808;-2;6;0;0;0;0;0;0;0;0;;0;0
617297;629;45;13.97777778;28;100;2;75.14285714;7;65;1258;-2.777777778;7;0;0;0;0;0;0;0;0;;0;0
311474;99;15;6.6;2;0;0;37.5;2;30;198;-10.5;2;0;0;0;0;0;0;0;0;;0;0
695946;1139;124;9.185483871;69;82.5;4;0;0;65;2278;-3.25;4;0;0;0;0;0;0;0;0;;0;0
608504;1181;36;32.80555556;18;49.66666667;3;73;6;30;2362;-0.555555556;3;0;0;0;0;0;0;0;0;;0;0
631613;653;34;19.20588235;67;96;5;62;6;65;1306;-1.818181818;6;0;0;0;0;0;0;0;0;;0;0
531888;150;8;18.75;15;0;0;0;0;30;300;0;0;0;0;0;0;0;0;0;0;;0;0
339608;140;15;9.333333333;12;100;5;59.66666667;6;65;280;-1.636363636;8;0;0;0;0;0;0;0;0;;0;0
636124;5885;213;27.62910798;149;99.5;4;95.375;8;85;11770;2.916666667;4;0;0;0;0;0;0;0;0;;0;0
650927;15;3;5;4;0;0;90;4;85;30;1;0;0;0;0;0;0;0;0;0;;0;0
2383036;1665;153;10.88235294;80;0;0;87.5;6;65;3330;4.571428571;0;0;0;0;0;0;0;0;0;;0;0
558787;1513;144;10.50694444;147;81.57142857;7;89.33333333;6;85;3026;0.857142857;7;0;0;0;0;0;0;0;0;;0;0
632125;1598;50;31.96;146;0;0;65;5;40;3196;3.8;1;0;0;0;0;0;0;0;0;;0;0
548872;62;7;8.857142857;4;67;1;0;0;30;124;-3;1;0;0;0;0;0;0;0;0;;0;0
623541;549;36;15.25;23;0;0;74.25;4;65;1098;1.6;0;0;0;0;0;0;0;0;0;;0;0
290164;5805;166;34.96987952;159;0;0;66;5;65;11610;-2.2;3;0.537729063;0.352458032;10;6;16;0.165090826;0.431168831;28;37;0.756756757;1
601517;880;57;15.43859649;63;65;4;43;4;40;1760;-1.625;4;0;0;0;0;0;0;0;0;;0;0
2699235;1215;101;11.99973445;11;98.09506889;5;78.83340736;5;65;2430;-3.266770302;6;0.321309986;0.114852957;1;0;0;0.022842768;0.050724735;1;3;0.333333333;1
573496;154;17;9.058823529;3;100;4;71.5;6;65;308;-1.5;6;0;0;0;0;0;0;0;0;;0;0
691286;20;1;20;1;0;0;100;1;30;40;11;0;0;0;0;0;0;0;0;0;;0;0
699503;270;14;19.28571429;17;0;0;59.6;5;65;540;-1.4;2;0;0;0;0;0;0;0;0;;0;0
543475;1262;77;16.38961039;124;35;4;68.625;8;65;2524;-3.583333333;8;0;0;0;0;0;0;0;0;;0;0
2700042;1320;53;24.9953909;32;96.39504557;2;72.04498047;4;30;2639;14.27506811;2;0.654874332;0.264736424;2;1;1;0.060002218;0.086170896;3;5;0.6;1
628388;490;38;12.89473684;128;0;0;84.2;5;65;980;-1.2;1;0;0;0;0;0;0;0;0;;0;0
1906919;7155;201;35.59701493;282;83.81818182;11;83.22222222;9;65;14310;-1;16;0;0;0;0;0;0;0;0;;0;0
626877;633;54;11.72222222;111;58;3;91.6;5;40;1266;-0.875;4;0;0;0;0;0;0;0;0;;0;0
494722;844;59;14.30508475;85;0;0;82.75;4;30;1688;0.75;0;0;0;0;0;0;0;0;0;;0;0
625724;2102;193;10.89119171;34;88;5;78.8;5;65;4204;-1.4;6;0;0;0;0;0;0;0;0;;0;0
500522;391;30;13.03333333;37;31;3;26.5;2;30;782;-2.4;4;0;0;0;0;0;0;0;0;;0;0
488427;1381;96;14.38541667;34;88;5;56;6;65;2762;-0.545454545;5;0;0;0;0;0;0;0;0;;0;0
2701566;2160;125;17.28883686;105;0;0;76.15575488;5;65;4321;1.910997213;0;0.697447624;0.33784069;9;8;20;0.044952873;0.112175062;19;36;0.527777778;1
686752;19;2;9.5;3;0;0;100;1;30;38;1;0;0;0;0;0;0;0;0;0;;0;0
502441;416;69;6.028985507;14;100;5;84.5;6;85;832;-0.636363636;5;0.303920949;0.123965892;0;0;2;0.011464029;0.017054299;0;5;0;0
550092;1992;115;17.32173913;143;58.44444444;9;59.83333333;6;65;3984;-1.1875;11;0;0;0;0;0;0;0;0;;0;0
575265;106;9;11.77777778;11;81.875;8;69;5;65;212;49.61538462;2;0;0;0;0;0;0;0;0;;0;0
549783;7058;220;32.08181818;284;96.18181818;11;91.1;10;65;14116;2.909090909;11;0;0;0;0;0;0;0;0;;0;0
2698979;3136;144;21.84387552;98;0;0;72.24963844;3;40;6271;16.30982717;1;0.710010891;0.317594409;13;9;25;0.043871409;0.123553964;20;50;0.4;1
2702811;4772;162;29.53178103;181;0;0;79.79930466;5;65;9545;-3.8;2;0.789730141;0.325430685;11;6;16;0.099213927;0.252243317;25;37;0.675675676;1
591774;605;36;16.80555556;11;0;0;76.2;5;65;1210;0;0;0.681147579;0.224070446;5;2;7;0.019582435;0.045324489;2;20;0.1;0
1731564;468;48;9.75;27;84;5;75.75;4;65;936;-1.444444444;5;0;0;0;0;0;0;0;0;;0;0
555672;1104;79;13.97468354;113;92;5;77.5;6;65;2208;-1.272727273;5;0.339761791;0.092262426;0;0;1;0.064362244;0.121212121;1;5;0.2;0
2699626;960;54;17.91863552;19;30.50724471;3;42.20010432;6;40;1921;-2.951976353;4;0.494024675;0.21213065;2;1;7;0.051547086;0.08992843;6;13;0.461538462;1
561881;2439;183;13.32786885;157;0;0;96.83333333;6;85;4878;3.857142857;0;0;0;0;0;0;0;0;0;;0;0
599429;105;5;21;12;0;0;74.66666667;3;30;210;-14.33333333;3;0;0;0;0;0;0;0;0;;0;0
641992;452;18;25.11111111;28;0;0;38.5;2;30;904;3.5;0;0;0;0;0;0;0;0;0;;0;0
